3	8
2	18
4	7
10	3
24	1
12	1
37	34
1	1
14	11
6	32
47	5
20	4
25	11
11	25
31	24
42	34
19	23
60	11
53	10
26	1
8	34
30	8
35	4
10	3
7	26
9	8
33	2
15	18
21	23
28	8
39	34
13	34
48	29
57	23
23	23
41	11
22	8
29	32
38	23
32	11
55	4
40	8
18	11
5	6
52	1
16	5
36	1
49	4
46	8
27	23
54	22
43	11
59	34
45	18
56	4
17	18
44	21
58	31
34	29
61	23
51	23
64	18
68	11
62	23
63	5
70	23
65	11
69	11
67	35
50	11
66	23
72	15
73	29
71	-9999
74	23
-9999	-9999
