6	1	2
2	1	3
7	1	4
1	1	4
3	1	5
4	1	5
5	1	7
8	1	7
6	2	4
2	2	7
7	2	9
1	2	11
3	2	11
4	2	13
5	2	16
8	2	18
6	3	8
2	3	14
7	3	18
1	3	21
3	3	23
4	3	25
5	3	33
8	3	35
6	4	15
2	4	28
7	4	35
1	4	42
3	4	45
4	4	50
5	4	65
8	4	70
6	5	30
2	5	56
7	5	70
1	5	84
3	5	90
4	5	100
5	5	130
8	5	140
6	6	45
2	6	84
7	6	105
1	6	126
3	6	135
4	6	150
5	6	195
8	6	210
6	7	60
2	7	112
7	7	140
1	7	168
3	7	180
4	7	200
5	7	260
8	7	280
6	8	75
2	8	140
7	8	175
1	8	210
3	8	225
4	8	250
5	8	325
8	8	350
6	9	75
2	9	140
7	9	175
1	9	210
3	9	225
4	9	250
5	9	325
8	9	350
6	10	75
2	10	140
7	10	175
1	10	210
3	10	225
4	10	250
5	10	325
8	10	350
6	11	75
2	11	140
7	11	175
1	11	210
3	11	225
4	11	250
5	11	325
8	11	350
6	12	75
2	12	140
7	12	175
1	12	210
3	12	225
4	12	250
5	12	325
8	12	350
6	13	75
2	13	140
7	13	175
1	13	210
3	13	225
4	13	250
5	13	325
8	13	350

