100	1.34
200	1.81
300	2.08
400	2.27
500	2.42
600	2.55
700	2.65
800	2.74
900	2.82
1000	2.89
1200	3.01
1400	3.11
1600	3.20
1800	3.28
2000	3.35
2500	3.50
3000	3.62
4000	3.82
5000	3.97
7500	4.24
10000	4.43
20000	4.89
30000	5.17

