-1	150	100
150	250	200
250	350	300
350	450	400
450	550	500
550	650	600
650	750	700
750	850	800
850	950	900
950	1100	1000
1100	1300	1200
1300	1500	1400
1500	1700	1600
1700	1900	1800
1900	2250	2000
2250	2750	2500
2750	3500	3000
3500	4500	4000
4500	6250	5000
6250	8750	7500
8750	15000	10000
15000	25000	20000
25000	100000	30000
100000	200000	30000
